match_id,date,understat_date,date_difference_days,season,league,home_team,away_team,game_id,home_xg,away_xg,total_xg,xg_diff_home,home_np_xg,away_np_xg,total_np_xg,np_xg_diff_home,home_expected_points,away_expected_points,expected_points_diff_home,home_ppda,away_ppda,home_deep_completions,away_deep_completions
D1_20150912_BayernMunich_Augsburg,2015-09-12,2015-09-12,0,1516,Bundesliga,Bayern Munich,Augsburg,1049,3.85642,0.15319,4.00961,3.70323,3.09864,0.15319,3.25183,2.94545,2.9845,0.0088,2.9757,3.037037037037037,33.0,15,1
D1_20150912_EinFrankfurt_FCKoln,2015-09-12,2015-09-12,0,1516,Bundesliga,Ein Frankfurt,FC Koln,1054,2.93005,0.902695,3.832745,2.027355,2.93005,0.902695,3.832745,2.027355,2.6174,0.2702,2.3472,9.323529411764708,9.93103448275862,7,6
D1_20150912_Hannover_Dortmund,2015-09-12,2015-09-12,0,1516,Bundesliga,Hannover,Dortmund,1050,0.582795,2.16909,2.751885,-1.5862950000000002,0.582795,0.65354,1.236335,-0.070745,0.2476,2.6185000000000005,-2.3709000000000007,26.916666666666668,6.0,1,18
D1_20150912_Hertha_Stuttgart,2015-09-12,2015-09-12,0,1516,Bundesliga,Hertha,Stuttgart,1051,1.47686,1.02726,2.5041200000000003,0.4496,1.47686,1.02726,2.5041200000000003,0.4496,1.7486000000000002,0.9629,0.7857000000000002,8.64,8.857142857142858,3,8
D1_20150912_Ingolstadt_Wolfsburg,2015-09-12,2015-09-12,0,1516,Bundesliga,Ingolstadt,Wolfsburg,1052,0.178191,0.732037,0.910228,-0.5538460000000001,0.178191,0.732037,0.910228,-0.5538460000000001,0.7018,1.8418,-1.14,10.964285714285714,4.695652173913044,7,4
D1_20150912_Leverkusen_Darmstadt,2015-09-12,2015-09-12,0,1516,Bundesliga,Leverkusen,Darmstadt,1053,1.3554,0.284787,1.640187,1.0706129999999998,1.3554,0.284787,1.640187,1.0706129999999998,2.3091,0.4443,1.8648,2.2580645161290325,9.5625,9,0
E0_20150912_Arsenal_Stoke,2015-09-12,2015-09-12,0,1516,Premier League,Arsenal,Stoke,122,4.42684,0.191277,4.618117000000001,4.235563,4.42684,0.191277,4.618117000000001,4.235563,2.9829,0.0096,2.9733,6.76,15.904761904761903,20,2
E0_20150912_CrystalPalace_ManCity,2015-09-12,2015-09-12,0,1516,Premier League,Crystal Palace,Man City,123,0.743193,3.08883,3.832023,-2.345637,0.743193,3.08883,3.832023,-2.345637,0.1183999999999999,2.8169000000000004,-2.698500000000001,8.625,8.583333333333334,2,8
E0_20150912_Everton_Chelsea,2015-09-12,2015-09-12,0,1516,Premier League,Everton,Chelsea,121,1.18026,0.656048,1.836308,0.5242120000000001,1.18026,0.656048,1.836308,0.5242120000000001,1.8557,0.8444,1.0113,15.047619047619047,7.615384615384615,4,7
E0_20150912_ManUnited_Liverpool,2015-09-12,2015-09-12,0,1516,Premier League,Man United,Liverpool,127,1.46206,1.02572,2.48778,0.4363399999999999,0.700895,1.02572,1.726615,-0.3248249999999999,1.7937,0.8883000000000001,0.9054,9.77777777777778,14.476190476190476,4,5
E0_20150912_Norwich_Bournemouth,2015-09-12,2015-09-12,0,1516,Premier League,Norwich,Bournemouth,126,1.33151,0.389495,1.721005,0.942015,1.33151,0.389495,1.721005,0.942015,2.225,0.5201,1.7049,9.961538461538462,11.63157894736842,7,3
E0_20150912_Watford_Swansea,2015-09-12,2015-09-12,0,1516,Premier League,Watford,Swansea,124,1.57333,0.503008,2.076338,1.070322,1.57333,0.503008,2.076338,1.070322,2.2813,0.4894,1.7918999999999998,11.25925925925926,6.7,3,8
